,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
EC-Earth3-Veg,r2i1p1f1,0.00,RCM,RCM,RCM,RCM,RCM,RCM,2,2.62,0.01,,0.00,2.62,,4.31,EC-Earth,MACv2-SP approach,2222221000.00,gregorian,100.00
EC-Earth3-Veg,r3i1p1f1,0.00,RCM,RCM,RCM,RCM,RCM,RCM,2,2.62,0.01,,0.00,2.62,,4.31,EC-Earth,MACv2-SP approach,2222221000.00,gregorian,100.00
EC-Earth3-Veg,r4i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,1,,,,0.00,,,4.31,EC-Earth,,,gregorian,
EC-Earth3-Veg,r5i1p1f1,0.00,Basic,,,Basic,,,,,,,,,,4.31,EC-Earth,,,gregorian,
EC-Earth3-Veg,r6i1p1f1,0.00,Basic,,ESD,ESD,,ESD,2,2.62,0.01,,0.00,2.62,,4.31,EC-Earth,,2222221000.00,gregorian,100.00
EC-Earth3-Veg-LR,r1i1p1f1,0.00,Basic,ESD,ESD,ESD,ESD,ESD,,,,,,,,,,,2222221000.00,gregorian,250.00
FGOALS-f3-L,r1i1p1f1,0.00,3Dml,,-,-,-,-,1,1.94,0.03,,0.00,1.94,,3.00,,,,365_day,100.00
FGOALS-g3,r1i1p1f1,0.00,3Dml,3Dml,3Dml,ESD,3Dml,ESD,1,1.54,0.00,,1.00,1.54,1.86,2.88,,,,365_day,250.00
FGOALS-g3,r2i1p1f1,0.00,-,,3Dml,3Dml,3Dml,3Dml,0,,,,1.00,,1.94,,,,,,
FGOALS-g3,r3i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,,,,1.00,,1.84,,,,,,
FGOALS-g3,r4i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,,,,1.00,,1.96,,,,,,
